hhid,weight,province,feed_Buffalo,form_contract_Buffalo,contract_coverage_Buffalo,main_purpose_Buffalo,LIVESTOCKAGE_Buffalo,num_ado_male_Buffalo,num_ado_fem_Buffalo,num_adult_male_Buffalo,num_adult_fem_Buffalo,births_Buffalo,bought_received_Buffalo,deaths_Buffalo,sold_Buffalo,sale_price_Buffalo,stolen_Buffalo,gift_Buffalo,slghtr_Buffalo,num_vax_Buffalo,num_Buffalo,provision_feed_Buffalo,for_sale_live_Buffalo,for_gift_Buffalo,for_meat_Buffalo,for_draught_Buffalo,for_breeding_Buffalo,for_milk_Buffalo,growth_Buffalo,loss_Buffalo,net_growth_Buffalo,num_start_Buffalo,growth_pct_Buffalo,loss_pct_Buffalo,net_growth_pct_Buffalo,peak_num_Buffalo,mortality_rt_Buffalo,vax_pct_Buffalo,vax_Buffalo,price_prov_med_Buffalo,sale_price_obs_Buffalo,sale_price_impt_Buffalo,price_natl_med_Buffalo,sale_revenue_Buffalo,slghtr_unit_value_Buffalo,slghtr_value_Buffalo,prod_value_Buffalo,feed_Cattle,form_contract_Cattle,contract_coverage_Cattle,main_purpose_Cattle,LIVESTOCKAGE_Cattle,num_ado_male_Cattle,num_ado_fem_Cattle,num_adult_male_Cattle,num_adult_fem_Cattle,births_Cattle,bought_received_Cattle,deaths_Cattle,sold_Cattle,sale_price_Cattle,stolen_Cattle,gift_Cattle,slghtr_Cattle,num_vax_Cattle,num_Cattle,provision_feed_Cattle,for_sale_live_Cattle,for_gift_Cattle,for_meat_Cattle,for_draught_Cattle,for_breeding_Cattle,for_milk_Cattle,growth_Cattle,loss_Cattle,net_growth_Cattle,num_start_Cattle,growth_pct_Cattle,loss_pct_Cattle,net_growth_pct_Cattle,peak_num_Cattle,mortality_rt_Cattle,vax_pct_Cattle,vax_Cattle,price_prov_med_Cattle,sale_price_obs_Cattle,sale_price_impt_Cattle,price_natl_med_Cattle,sale_revenue_Cattle,slghtr_unit_value_Cattle,slghtr_value_Cattle,prod_value_Cattle,feed_Pigs,form_contract_Pigs,contract_coverage_Pigs,main_purpose_Pigs,LIVESTOCKAGE_Pigs,num_ado_male_Pigs,num_ado_fem_Pigs,num_adult_male_Pigs,num_adult_fem_Pigs,births_Pigs,bought_received_Pigs,deaths_Pigs,sold_Pigs,sale_price_Pigs,stolen_Pigs,gift_Pigs,slghtr_Pigs,num_vax_Pigs,num_Pigs,provision_feed_Pigs,for_sale_live_Pigs,for_gift_Pigs,for_meat_Pigs,for_draught_Pigs,for_breeding_Pigs,for_milk_Pigs,growth_Pigs,loss_Pigs,net_growth_Pigs,num_start_Pigs,growth_pct_Pigs,loss_pct_Pigs,net_growth_pct_Pigs,peak_num_Pigs,mortality_rt_Pigs,vax_pct_Pigs,vax_Pigs,price_prov_med_Pigs,sale_price_obs_Pigs,sale_price_impt_Pigs,price_natl_med_Pigs,sale_revenue_Pigs,slghtr_unit_value_Pigs,slghtr_value_Pigs,prod_value_Pigs,fhh,covid_shock,ag_comm,animal_area,animal_ded_area,qty_rice_harvested,area_rice_harvested,irrigation,drought,flood,extension_training
HID322129,143.934272121887,Prey Veng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,0,0,2,1,0,0,0,0,1775000,0,0,0,0,3,No feed,Yes,No,No,No,No,No,0,0,0,3,0,0,0,3,0,0,No,1775000,,1775000,2000000,,1775000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0007999999797903,1,840,.8,1,Yes,Yes,
HID322285,79.90238244700041,Tboung Khmum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,5,0,0,3,1,1,0,2,3000000,0,0,0,0,8,No feed,Yes,No,No,No,No,No,2,2,0,8,.25,.25,0,10,0,0,No,2000000,3000000,,2000000,6000000,3000000,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.003000000026077,1,1000,.5,0,No,No,
HID322393,135.408544359253,Kampong Cham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,0,0,0,4,1,0,0,0,3000000,0,0,0,0,4,No feed,Yes,No,No,No,No,No,1,0,1,3,.33333334,0,.33333334,4,0,0,No,3000000,,3000000,2000000,,3000000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,.0120000001043081,1,2400,.651,1,No,No,
HID322399,138.905512621303,Prey Veng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,0,0,0,2,0,2,0,0,1775000,0,0,0,1,2,No feed,Yes,No,No,No,No,No,2,0,2,1,2,0,2,3,0,.33333334,Yes,1775000,,1775000,2000000,,1775000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.003000000026077,1,0,0,,No,No,
HID322436,174.971234657934,Pursat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0010000000474975,1,13000,13,1,Yes,No,
HID322557,132.939257650164,Ratanak Kiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,.0006000000284985,1,0,0,1,No,No,
HID322581,45.184848610389,Phnom Penh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,.0020000000949949,1,0,0,0,No,No,
HID322694,178.731568716674,Prey Veng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,.0020000000949949,1,0,0,0,No,No,
HID322714,333.794562741428,Siem Reap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,.0007999999797903,1,0,0,1,No,No,
HID322789,34.6444861588716,Battambang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A mix of grazing and feeding,No,,Live sale,2,0,2,2,5,1,0,0,2,2000000,0,0,0,0,9,Feed,Yes,No,No,No,No,No,1,2,-1,10,.1,.2,-.1,11,0,0,No,2000000,2000000,,2000000,4000000,2000000,,4000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0700000002980232,1,8000,3,1,Yes,No,
HID322790,210.650018103794,Battambang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0012000000569969,1,0,0,0,No,No,
HID322855,150.402939475329,Svay Rieng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,1,0,0,2,1,0,0,2,1000000,0,0,0,0,3,No feed,Yes,No,No,No,No,No,1,2,-1,4,.25,.5,-.25,5,0,0,No,1500000,1000000,,2000000,2000000,1000000,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0006000000284985,1,1025,.5,1,No,No,
HID323030,66.8424865484285,Phnom Penh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0049999998882413,1,0,0,,No,No,
HID323092,165.937621962066,Siem Reap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0010000000474975,1,1300,.5,1,Yes,No,
HID323147,177.063812816307,Kampong Speu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0005000000237487,1,1820,.65,1,No,No,
HID323276,88.715851370492,Prey Veng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,.0299999993294477,1,1500,.2,1,No,Yes,
HID323313,191.195165231712,Kratie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,0,2,0,3,0,0,0,5,1300000,0,0,0,0,5,No feed,Yes,No,No,No,No,No,0,5,-5,10,0,.5,-.5,10,0,0,No,1700000,1300000,,2000000,6500000,1300000,,6500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.1836999952793121,1,1000,.5,1,No,No,
HID323333,52.7506955538627,Kandal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,.0099999997764826,1,0,0,0,No,Yes,
HID323383,274.696658302189,Tboung Khmum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,.0060000000521541,1,2800,1.5,0,No,No,
HID323419,210.994153824199,Banteay Meanchey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,1,0,0,2,0,0,0,0,2600000,0,0,0,0,3,No feed,Yes,No,No,No,No,No,0,0,0,3,0,0,0,3,0,0,No,2600000,,2600000,2000000,,2600000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,.00089999998454,1,7000,3,1,Yes,No,
HID323472,196.177256958977,Kampong Cham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,0,0,2,3,0,0,0,0,3000000,0,0,0,0,5,No feed,Yes,No,No,No,No,No,0,0,0,5,0,0,0,5,0,0,No,3000000,,3000000,2000000,,3000000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,.0135000003501773,1,0,0,0,No,No,
HID323542,333.121470623515,Pursat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,0,0,0,2,3,0,0,8,1200000,0,0,0,0,2,No feed,Yes,No,No,No,No,No,3,8,-5,7,.42857143,1.1428572,-.71428573,10,0,0,No,1800000,1200000,,2000000,9600000,1200000,,9600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0099999997764826,1,11200,6.05,1,Yes,No,
HID323583,71.80756140718471,Kampong Cham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0035000001080334,1,0,0,0,No,No,
HID323595,146.603738971372,Kampong Cham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,0,0,1,1,0,0,0,0,3000000,0,0,0,0,2,No feed,Yes,No,No,No,No,No,0,0,0,2,0,0,0,2,0,0,No,3000000,,3000000,2000000,,3000000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0007999999797903,1,2000,.55,1,Yes,No,
HID323602,72.0948591290346,Kandal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0012000000569969,1,0,0,1,No,No,
HID323614,234.920192641958,Kampong Cham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,8,3,0,3,3,0,0,2,2500000,0,0,0,0,14,No feed,Yes,No,No,No,No,No,3,2,1,13,.23076923,.15384616,.07692308,16,0,0,No,3000000,2500000,,2000000,5000000,2500000,,5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0010000000474975,1,2800,2.5,1,No,No,
HID323650,299.105438391376,Kampong Thom,Only grazing,No,,Live sale,2,1,0,0,2,1,0,0,0,3000000,0,0,0,2,3,No feed,Yes,No,No,No,No,No,1,0,1,2,.5,0,.5,3,0,.66666669,Yes,3000000,,3000000,3200000,,3000000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0020000000949949,1,80000,18,1,Yes,No,
HID323737,152.841434680986,Kampong Thom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,.0006000000284985,1,0,0,1,No,Yes,
HID323792,25.2601324230368,Kampong Speu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Breeding,2,1,0,0,2,1,0,0,0,3000000,0,0,0,0,3,No feed,No,No,No,No,Yes,No,1,0,1,2,.5,0,.5,3,0,0,No,3000000,,3000000,2000000,,3000000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0099999997764826,1,350,.1,1,No,No,
HID323877,103.33998860682,Battambang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,.0020000000949949,1,7000,1,1,No,No,
HID323886,35.9445154175633,Siem Reap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0020000000949949,1,0,0,1,No,No,
HID323914,199.616656244829,Kampong Speu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,0,0,2,0,0,0,0,2,3000000,0,0,0,0,2,No feed,Yes,No,No,No,No,No,0,2,-2,4,0,.5,-.5,4,0,0,No,3000000,3000000,,2000000,6000000,3000000,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,.0006000000284985,1,1800,1,1,No,No,
HID323920,123.376218368334,Svay Rieng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0003000000142492,1,2100,1.977,1,No,No,
HID323951,284.519588701898,Kandal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,0,0,0,2,0,0,0,2,3000000,0,0,0,0,2,No feed,Yes,No,No,No,No,No,0,2,-2,4,0,.5,-.5,4,0,0,No,2750000,3000000,,2000000,6000000,3000000,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,.0049999998882413,1,900,.3,1,No,No,
HID323969,278.257118625714,Kampong Cham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,0,0,0,2,0,0,0,0,3000000,0,0,0,2,2,No feed,Yes,No,No,No,No,No,0,0,0,2,0,0,0,2,0,1,Yes,3000000,,3000000,2000000,,3000000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0006000000284985,1,700,.36,1,Yes,No,
HID323996,124.020911734175,Battambang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A mix of grazing and feeding,No,,Breeding,2,2,2,3,7,1,0,0,4,2000000,0,0,0,10,14,Feed,Yes,No,No,No,Yes,No,1,4,-3,17,.05882353,.23529412,-.17647059,18,0,.55555558,Yes,2000000,2000000,,2000000,8000000,2000000,,8000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0500000007450581,1,1000,.32,1,Yes,No,
HID324024,187.758415595224,Prey Veng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,.0003999999898952,1,200,.85,1,No,Yes,
HID324057,58.0284108902775,Kep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,0,0,0,2,1,0,2,1,3000000,0,0,0,0,2,No feed,Yes,No,No,No,No,No,1,3,-2,4,.25,.75,-.5,5,.40000001,0,No,3000000,,3000000,2000000,3000000,3000000,,3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0027999999001622,1,0,0,1,No,No,
HID324080,127.18740757294,Preah Vihear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,1,3,0,2,2,0,1,3,1500000,0,0,0,0,6,No feed,Yes,No,No,No,No,No,2,4,-2,8,.25,.5,-.25,10,.1,0,No,1450000,1500000,,2000000,4500000,1500000,,4500000,Only grazing,No,,Live sale,1,1,1,0,0,0,2,0,0,400000,0,0,0,0,2,No feed,Yes,No,No,No,No,No,2,0,2,1,2,0,2,3,0,0,No,400000,,400000,600000,,400000,,0,0,1,2,.0040000001899898,1,0,0,1,No,No,
HID324087,196.919271863716,Siem Reap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,.0015000000130385,1,0,0,1,No,No,
HID324229,150.547846241182,Kampot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,0,2,2,0,0,4,0,4,2700000,0,0,0,0,4,No feed,Yes,No,No,No,No,No,4,4,0,4,1,1,0,8,0,0,No,3000000,2700000,,2000000,10800000,2700000,,10800000,Only grazing,No,,Breeding,1,0,0,0,1,15,0,1,13,410000,0,0,0,14,1,No feed,Yes,No,No,No,Yes,No,15,14,1,1,15,14,1,16,.0625,.875,Yes,670000,410000,,600000,5330000,410000,,5330000,0,1,2,.0010000000474975,1,2050,1.27,1,No,No,
HID324236,186.44102415185,Kampong Speu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0024999999441206,1,0,0,0,No,No,
HID324451,89.49460653529459,Takeo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,0,1,0,1,1,0,0,0,2850000,0,0,0,0,2,No feed,Yes,No,No,No,No,No,1,0,1,1,1,0,1,2,0,0,No,2850000,,2850000,2000000,,2850000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,.0031999999191612,1,1610,.54,1,No,No,
HID324511,28.7296784884033,Tboung Khmum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,.0049999998882413,1,0,0,1,No,No,
HID324654,161.902939516326,Kampong Thom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A mix of grazing and feeding,No,,Live sale,2,0,1,1,3,1,0,0,1,1500000,0,0,0,5,5,Feed,Yes,No,No,No,No,No,1,1,0,5,.2,.2,0,6,0,.83333331,Yes,1800000,1500000,,2000000,1500000,1500000,,1500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0020000000949949,1,3000,1.5,1,No,No,
HID324681,127.785461839614,Kampong Thom,Only grazing,No,,Live sale,2,0,1,0,0,0,0,0,1,3500000,0,0,0,0,1,No feed,Yes,No,No,No,No,No,0,1,-1,2,0,.5,-.5,2,0,0,No,3000000,3500000,,3200000,3500000,3500000,,3500000,Only grazing,No,,Live sale,2,1,1,0,3,0,5,0,0,1800000,0,0,0,0,5,No feed,Yes,No,No,No,No,No,5,0,5,1,5,0,5,6,0,0,No,1800000,,1800000,2000000,,1800000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0006000000284985,1,0,0,1,No,No,
HID324707,172.626426089553,Pursat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,0,1,0,1,1,0,0,1,1600000,0,0,0,0,2,No feed,Yes,No,No,No,No,No,1,1,0,2,.5,.5,0,3,0,0,No,1800000,1600000,,2000000,1600000,1600000,,1600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0024999999441206,1,1500,1,1,Yes,No,
HID324842,238.847463118586,Otdar Meanchey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,.0003999999898952,1,13600,13.82,1,Yes,No,
HID325418,119.905926242056,Prey Veng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,1,1,0,3,0,0,0,1,1600000,0,0,0,0,5,No feed,Yes,No,No,No,No,No,0,1,-1,6,0,.16666667,-.16666667,6,0,0,No,1775000,1600000,,2000000,1600000,1600000,,1600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0024000001139939,1,4500,1.95,1,No,No,
HID325478,264.911502894975,Siem Reap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,1,0,0,1,0,0,0,0,2000000,0,0,0,2,2,No feed,Yes,No,No,No,No,No,0,0,0,2,0,0,0,2,0,1,Yes,2000000,,2000000,2000000,,2000000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.25,1,1280,.5,1,No,No,
HID325496,303.08585728705,Tboung Khmum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,.0003000000142492,1,15,.003,1,No,No,
HID325639,100.26862628461,Svay Rieng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,0,2,0,3,1,0,0,0,1500000,0,0,0,0,5,No feed,Yes,No,No,No,No,No,1,0,1,4,.25,0,.25,5,0,0,No,1500000,,1500000,2000000,,1500000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.003000000026077,1,4250,1.69,1,No,No,Yes
HID325678,160.246664835837,Kandal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,.0020000000949949,1,500,.16,1,No,No,
HID325750,164.665805687281,Tboung Khmum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0003999999898952,1,5000,2.5,1,Yes,No,
HID325753,113.64996486475,Prey Veng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,2,2,3,5,2,0,0,2,2500000,0,0,0,0,12,No feed,Yes,No,No,No,No,No,2,2,0,12,.16666667,.16666667,0,14,0,0,No,1775000,2500000,,2000000,5000000,2500000,,5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,.0012000000569969,1,9200,3.3664,1,No,Yes,
